tweet_id,hs,aggressiveness,offensiveness,irony,stereotype,tweet_id_full
8.39E+17,no,no,no,no,no,8.3874E+17
8.35E+17,no,no,no,no,no,8.35175E+17
8.22E+17,no,no,no,yes,no,8.22453E+17
8.36E+17,no,no,no,no,no,8.35538E+17
8.22E+17,no,strong,weak,yes,yes,8.21685E+17
8.35E+17,no,no,no,no,no,8.35238E+17
8.37E+17,no,no,no,no,no,8.37244E+17
8.37E+17,no,no,no,no,no,8.37406E+17
8.39E+17,no,no,no,no,no,8.39257E+17
8.02E+17,no,no,no,no,no,8.01786E+17
8.05E+17,no,no,no,no,no,8.04955E+17
8.36E+17,no,no,no,yes,no,8.36269E+17
8.14E+17,no,weak,no,yes,no,8.13664E+17
8.43E+17,no,no,no,no,no,8.42827E+17
7.99E+17,no,weak,no,yes,yes,7.9925E+17
8.36E+17,no,no,weak,yes,yes,8.35882E+17
8.36E+17,no,no,no,no,no,8.35515E+17
8.42E+17,no,no,no,yes,yes,8.42469E+17
8.35E+17,no,no,weak,yes,no,8.3543E+17
8.26E+17,no,no,no,no,no,8.25661E+17
8.54E+17,no,no,weak,yes,yes,8.53687E+17
8.51E+17,no,no,no,yes,yes,8.51098E+17
8.02E+17,no,no,no,no,no,8.01812E+17
7.86E+17,no,no,no,no,no,7.86096E+17
8.35E+17,no,no,no,yes,no,8.3523E+17
8.01E+17,no,no,no,yes,no,8.00788E+17
7.89E+17,no,no,no,no,no,7.88827E+17
8.07E+17,no,no,no,yes,no,8.0729E+17
8.08E+17,no,no,no,yes,no,8.07908E+17
8.35E+17,no,no,no,no,no,8.35203E+17
7.92E+17,no,no,no,yes,yes,7.92271E+17
8.35E+17,no,no,no,yes,yes,8.3524E+17
8.56E+17,yes,strong,no,no,no,8.56439E+17
8.37E+17,no,no,no,no,no,8.37011E+17
8.15E+17,no,weak,weak,yes,yes,8.14577E+17
7.87E+17,no,no,weak,no,no,7.86942E+17
8.37E+17,no,no,no,no,no,8.37329E+17
7.99E+17,no,no,no,no,no,7.99188E+17
7.88E+17,no,weak,weak,no,no,7.88294E+17
7.83E+17,no,no,no,no,yes,7.82831E+17
8.03E+17,no,no,no,no,no,8.02517E+17
8.43E+17,no,weak,no,yes,yes,8.43139E+17
8.39E+17,no,no,no,yes,no,8.39063E+17
8.36E+17,no,no,no,yes,no,8.35621E+17
8.36E+17,no,no,weak,yes,yes,8.35818E+17
8.35E+17,no,no,no,no,no,8.35455E+17
8.35E+17,no,weak,weak,no,yes,8.35463E+17
8.03E+17,no,no,no,no,no,8.03021E+17
8.42E+17,no,weak,weak,yes,yes,8.42466E+17
7.84E+17,no,weak,no,yes,no,7.83599E+17
8.44E+17,no,no,no,no,no,8.44276E+17
7.83E+17,no,no,no,yes,no,7.83387E+17
8.48E+17,no,no,no,no,yes,8.47751E+17
8.11E+17,no,no,no,no,no,8.11496E+17
8.31E+17,no,no,no,yes,no,8.30729E+17
8.35E+17,yes,strong,weak,yes,yes,8.35414E+17
8.31E+17,no,weak,no,yes,no,8.31229E+17
8.36E+17,no,no,no,no,no,8.35794E+17
8.44E+17,no,no,no,no,no,8.43853E+17
8.55E+17,no,weak,no,no,no,8.55387E+17
8.41E+17,no,no,no,no,no,8.4127E+17
8.38E+17,no,no,no,no,no,8.38271E+17
8.00E+17,no,no,no,no,yes,7.99968E+17
8.06E+17,no,no,no,no,no,8.06487E+17
8.25E+17,no,no,no,no,no,8.2465E+17
7.87E+17,no,weak,no,yes,no,7.86877E+17
8.15E+17,no,no,no,no,yes,8.15165E+17
8.47E+17,no,weak,no,no,yes,8.4683E+17
8.40E+17,no,no,no,no,no,8.39866E+17
8.25E+17,no,weak,no,no,no,8.24717E+17
8.35E+17,no,strong,no,no,no,8.34859E+17
8.22E+17,no,no,no,no,no,8.21646E+17
7.99E+17,no,no,no,no,no,7.9927E+17
8.57E+17,no,no,no,no,no,8.56506E+17
8.42E+17,no,no,no,no,no,8.41659E+17
8.37E+17,no,no,no,yes,yes,8.37376E+17
8.42E+17,no,no,no,no,no,8.41543E+17
8.46E+17,no,no,no,yes,yes,8.45905E+17
8.04E+17,no,no,no,no,yes,8.03555E+17
8.39E+17,no,no,no,no,no,8.39188E+17
8.35E+17,no,no,no,no,no,8.35116E+17
8.24E+17,no,no,no,no,no,8.23559E+17
8.43E+17,yes,weak,no,yes,yes,8.42821E+17
8.10E+17,no,no,no,no,no,8.10401E+17
8.21E+17,no,no,no,no,no,8.21376E+17
8.50E+17,no,no,no,no,no,8.49554E+17
8.41E+17,no,no,no,no,no,8.40939E+17
8.37E+17,no,no,no,no,yes,8.36863E+17
8.41E+17,no,no,no,no,no,8.41321E+17
8.28E+17,no,no,weak,no,no,8.28173E+17
8.08E+17,no,no,no,no,no,8.07504E+17
7.84E+17,no,no,no,no,no,7.83731E+17
8.42E+17,no,no,no,no,no,8.41704E+17
8.56E+17,no,no,weak,yes,yes,8.56052E+17
8.44E+17,no,no,no,no,no,8.44295E+17
8.39E+17,no,no,no,no,no,8.39476E+17
8.25E+17,no,weak,no,yes,no,8.2471E+17
8.36E+17,no,no,no,no,no,8.36327E+17
8.47E+17,no,no,no,yes,yes,8.47096E+17
8.41E+17,yes,strong,weak,yes,no,8.40555E+17
8.37E+17,no,weak,no,no,no,8.36852E+17
8.41E+17,yes,strong,weak,yes,yes,8.40649E+17
8.24E+17,no,no,no,no,no,8.23665E+17
8.01E+17,no,no,no,no,no,8.01383E+17
8.28E+17,no,no,no,yes,yes,8.27532E+17
8.26E+17,no,no,no,no,yes,8.26337E+17
8.37E+17,no,weak,no,yes,yes,8.36865E+17
8.39E+17,no,no,no,no,no,8.39441E+17
8.27E+17,no,no,no,yes,yes,8.27188E+17
8.40E+17,no,no,no,no,yes,8.39639E+17
8.07E+17,no,no,no,no,no,8.07127E+17
8.37E+17,no,no,no,no,no,8.36598E+17
7.89E+17,no,no,no,yes,yes,7.89323E+17
8.40E+17,no,no,no,no,no,8.39613E+17
8.42E+17,no,no,no,no,no,8.41899E+17
8.35E+17,no,no,no,no,no,8.35348E+17
8.22E+17,no,no,no,no,no,8.22441E+17
8.25E+17,no,no,no,no,no,8.2515E+17
8.04E+17,no,weak,no,no,no,8.03682E+17
8.02E+17,no,no,no,no,no,8.02281E+17
8.06E+17,no,strong,strong,yes,no,8.05742E+17
8.47E+17,no,weak,weak,no,yes,8.46765E+17
8.12E+17,no,no,no,no,no,8.11872E+17
8.38E+17,no,no,no,no,no,8.38352E+17
7.83E+17,no,no,weak,no,yes,7.82512E+17
8.40E+17,yes,strong,strong,yes,no,8.40138E+17
8.36E+17,no,no,no,no,no,8.35559E+17
8.41E+17,no,no,no,no,no,8.40962E+17
8.27E+17,no,no,no,yes,no,8.26836E+17
8.35E+17,no,no,no,yes,no,8.35206E+17
8.01E+17,no,no,no,yes,no,8.0079E+17
8.11E+17,no,no,no,no,no,8.111E+17
8.51E+17,no,no,no,no,no,8.50957E+17
8.45E+17,no,no,no,no,no,8.44509E+17
8.09E+17,yes,weak,no,no,no,8.09451E+17
8.53E+17,no,no,no,no,yes,8.53165E+17
7.82E+17,no,no,no,no,no,7.82153E+17
8.40E+17,no,weak,no,no,no,8.40122E+17
8.11E+17,no,no,no,no,yes,8.11235E+17
8.20E+17,no,no,no,no,no,8.20187E+17
8.56E+17,no,no,no,no,no,8.55696E+17
8.43E+17,no,no,no,no,no,8.42754E+17
8.35E+17,no,no,no,yes,no,8.35231E+17
8.31E+17,no,weak,weak,no,yes,8.31196E+17
8.32E+17,no,no,no,no,yes,8.32269E+17
8.41E+17,no,no,no,yes,no,8.40853E+17
8.43E+17,no,no,no,no,no,8.43107E+17
8.40E+17,no,no,no,no,no,8.39522E+17
8.36E+17,yes,strong,weak,no,no,8.3559E+17
8.25E+17,no,no,no,no,no,8.25042E+17
8.37E+17,no,no,no,no,yes,8.36841E+17
8.40E+17,no,weak,no,no,yes,8.40263E+17
8.26E+17,no,weak,strong,no,no,8.26209E+17
8.39E+17,no,no,no,yes,no,8.39378E+17
8.41E+17,no,no,no,no,no,8.40631E+17
8.37E+17,no,weak,no,no,yes,8.37412E+17
8.36E+17,no,weak,no,no,yes,8.36404E+17
8.41E+17,no,no,no,no,no,8.40956E+17
8.35E+17,no,no,no,no,yes,8.34889E+17
8.49E+17,no,no,no,no,yes,8.49182E+17
8.27E+17,no,no,no,no,no,8.26955E+17
8.48E+17,no,no,no,no,no,8.48033E+17
8.07E+17,no,no,no,no,no,8.07177E+17
8.30E+17,no,no,no,no,yes,8.29592E+17
8.30E+17,no,no,no,no,no,8.29795E+17
8.39E+17,no,no,strong,no,yes,8.39247E+17
8.35E+17,no,no,no,no,no,8.3516E+17
8.21E+17,no,no,no,no,no,8.20574E+17
8.07E+17,no,no,no,no,no,8.07166E+17
8.36E+17,no,no,no,no,no,8.36332E+17
7.91E+17,no,no,no,no,no,7.9137E+17
8.27E+17,no,no,no,no,yes,8.26742E+17
8.34E+17,yes,weak,weak,no,yes,8.34422E+17
7.86E+17,yes,strong,no,yes,no,7.86139E+17
8.43E+17,no,no,weak,no,yes,8.43361E+17
7.84E+17,no,no,no,no,no,7.84035E+17
8.35E+17,no,no,weak,yes,no,8.35135E+17
8.42E+17,no,no,no,no,no,8.41716E+17
8.40E+17,no,no,no,no,no,8.39605E+17
8.04E+17,no,no,no,no,yes,8.03982E+17
8.29E+17,no,no,no,no,no,8.29358E+17
8.12E+17,no,no,no,no,no,8.1242E+17
8.25E+17,no,no,no,no,no,8.25409E+17
8.01E+17,no,no,no,no,no,8.00707E+17
8.44E+17,no,weak,strong,no,no,8.44148E+17
8.47E+17,no,no,no,yes,yes,8.46765E+17
8.27E+17,no,weak,no,yes,yes,8.26945E+17
8.19E+17,no,no,no,no,yes,8.18548E+17
8.51E+17,no,no,no,no,no,8.51079E+17
8.36E+17,no,no,no,yes,yes,8.35783E+17
8.49E+17,no,no,no,no,yes,8.48836E+17
8.32E+17,yes,strong,strong,no,yes,8.32203E+17
8.38E+17,no,weak,no,no,no,8.38339E+17
8.41E+17,no,no,no,no,no,8.41236E+17
8.51E+17,no,no,no,no,no,8.5072E+17
7.86E+17,no,no,no,no,no,7.85962E+17
8.41E+17,no,no,no,no,no,8.41259E+17
8.21E+17,no,no,no,no,yes,8.20626E+17
8.47E+17,no,no,no,no,yes,8.47344E+17
8.09E+17,no,no,no,no,yes,8.08574E+17
8.42E+17,no,no,no,no,no,8.42279E+17
8.50E+17,no,no,no,no,no,8.50358E+17
8.05E+17,no,no,no,no,yes,8.04677E+17
8.35E+17,no,no,no,no,no,8.35423E+17
8.11E+17,no,no,weak,no,yes,8.11354E+17
8.35E+17,no,no,no,no,no,8.35474E+17
8.12E+17,no,no,no,no,no,8.12374E+17
8.22E+17,no,weak,strong,no,yes,8.22159E+17
8.51E+17,no,no,no,no,no,8.50628E+17
8.32E+17,yes,strong,strong,no,yes,8.31959E+17
8.36E+17,no,no,no,no,no,8.35561E+17
8.49E+17,no,no,strong,no,no,8.49322E+17
8.12E+17,no,no,no,no,no,8.12227E+17
8.09E+17,no,no,no,no,yes,8.09316E+17
8.49E+17,no,no,no,no,no,8.48517E+17
8.42E+17,no,no,no,no,no,8.4241E+17
8.08E+17,no,no,no,yes,no,8.08045E+17
8.54E+17,yes,weak,weak,no,yes,8.53904E+17
8.26E+17,no,weak,no,no,yes,8.25702E+17
7.91E+17,no,no,no,no,yes,7.91256E+17
8.37E+17,no,strong,weak,no,yes,8.36686E+17
8.43E+17,no,no,no,yes,no,8.43131E+17
8.22E+17,no,no,no,no,no,8.22318E+17
8.43E+17,no,no,no,no,yes,8.43048E+17
8.37E+17,no,no,no,no,yes,8.3707E+17
8.24E+17,no,no,no,no,yes,8.24179E+17
8.44E+17,no,no,no,no,yes,8.4417E+17
8.03E+17,no,no,strong,yes,yes,8.02834E+17
8.10E+17,no,no,no,no,yes,8.10097E+17
8.35E+17,no,no,weak,yes,no,8.35179E+17
8.12E+17,no,no,no,no,no,8.12375E+17
8.37E+17,no,no,no,no,yes,8.36955E+17
8.46E+17,no,strong,strong,no,yes,8.46474E+17
8.31E+17,no,weak,no,no,no,8.30841E+17
7.88E+17,no,no,no,no,no,7.87577E+17
7.89E+17,no,no,weak,yes,yes,7.89251E+17
8.25E+17,no,no,no,yes,yes,8.24963E+17
8.41E+17,no,no,no,no,no,8.40934E+17
8.45E+17,no,no,no,no,no,8.44967E+17
8.51E+17,yes,no,strong,no,yes,8.51478E+17
7.89E+17,no,no,no,no,yes,7.89364E+17
8.40E+17,no,no,no,no,no,8.39537E+17
8.36E+17,no,no,weak,no,no,8.35909E+17
7.99E+17,no,no,no,no,no,7.98831E+17
8.08E+17,no,no,no,no,no,8.07868E+17
8.43E+17,no,no,no,no,no,8.4307E+17
8.33E+17,no,no,no,no,no,8.33372E+17
8.50E+17,no,no,no,no,no,8.50406E+17
8.12E+17,no,weak,no,yes,no,8.12295E+17
8.08E+17,no,weak,no,no,yes,8.07574E+17
7.84E+17,no,no,no,no,yes,7.8395E+17
8.47E+17,no,no,no,no,yes,8.46722E+17
8.51E+17,no,no,no,no,no,8.50749E+17
8.08E+17,yes,strong,no,no,yes,8.08052E+17
8.07E+17,no,weak,no,yes,no,8.07305E+17
8.35E+17,no,no,no,no,yes,8.35192E+17
8.46E+17,no,weak,no,no,yes,8.46277E+17
8.37E+17,no,no,no,no,yes,8.36567E+17
7.87E+17,no,no,no,no,no,7.86651E+17
8.39E+17,no,no,no,no,no,8.39095E+17
8.25E+17,no,no,no,no,no,8.25058E+17
8.39E+17,no,no,no,no,no,8.39118E+17
8.29E+17,no,no,strong,no,no,8.28597E+17
8.47E+17,no,no,no,no,no,8.47448E+17
8.08E+17,no,no,no,no,no,8.07605E+17
8.55E+17,no,no,no,no,no,8.55331E+17
8.52E+17,no,no,no,no,no,8.51828E+17
7.86E+17,no,no,no,no,yes,7.85835E+17
8.27E+17,no,no,no,no,no,8.27214E+17
8.22E+17,no,no,no,yes,yes,8.2172E+17
8.44E+17,no,no,no,no,no,8.44421E+17
7.89E+17,no,no,no,no,no,7.89403E+17
8.42E+17,no,no,no,no,yes,8.41569E+17
8.23E+17,no,no,strong,no,yes,8.227E+17
8.50E+17,no,no,no,no,no,8.49922E+17
8.39E+17,no,no,no,no,no,8.38712E+17
8.25E+17,no,strong,weak,no,yes,8.25409E+17
8.04E+17,no,no,weak,yes,no,8.03979E+17
8.32E+17,yes,strong,weak,yes,yes,8.32223E+17
7.87E+17,no,weak,no,no,yes,7.86617E+17
8.35E+17,no,no,no,no,no,8.35494E+17
7.93E+17,no,no,no,no,yes,7.93405E+17
8.41E+17,no,no,no,no,no,8.40942E+17
8.39E+17,no,no,no,yes,yes,8.3869E+17
8.14E+17,no,no,no,no,no,8.14321E+17
8.34E+17,no,no,no,no,yes,8.34414E+17
8.35E+17,no,no,weak,no,yes,8.35134E+17
8.36E+17,no,weak,weak,no,yes,8.36332E+17
8.40E+17,no,no,no,no,yes,8.40488E+17
8.35E+17,yes,strong,no,no,yes,8.35222E+17
8.41E+17,no,no,weak,no,yes,8.41337E+17
8.00E+17,no,no,no,yes,no,8.00107E+17
8.10E+17,no,no,no,no,yes,8.1018E+17
8.41E+17,no,no,no,no,no,8.40508E+17
8.27E+17,no,no,no,no,no,8.26501E+17
7.84E+17,no,no,no,no,no,7.8371E+17
8.42E+17,no,weak,strong,no,yes,8.42463E+17
8.09E+17,no,no,no,no,yes,8.09027E+17
8.27E+17,no,weak,no,no,yes,8.2707E+17
8.43E+17,no,weak,no,yes,no,8.43111E+17
8.19E+17,no,no,no,no,no,8.18789E+17
8.37E+17,no,no,no,no,yes,8.36923E+17
7.94E+17,no,strong,weak,no,yes,7.93549E+17
8.02E+17,no,no,no,no,no,8.02059E+17
8.50E+17,no,no,no,no,no,8.50337E+17
8.56E+17,no,no,no,no,yes,8.5606E+17
8.36E+17,no,no,no,no,no,8.35798E+17
8.57E+17,no,no,no,no,no,8.56951E+17
7.88E+17,no,no,no,no,no,7.88104E+17
8.20E+17,no,no,no,no,no,8.19904E+17
8.25E+17,no,no,no,no,no,8.2458E+17
8.33E+17,no,weak,no,no,no,8.32853E+17
8.26E+17,no,no,no,no,yes,8.26385E+17
8.11E+17,no,no,no,no,yes,8.1112E+17
8.37E+17,no,no,no,no,yes,8.371E+17
8.09E+17,no,no,no,no,no,8.08656E+17
7.85E+17,no,no,no,no,no,7.85169E+17
8.39E+17,no,no,no,yes,no,8.3877E+17
8.27E+17,no,no,no,no,no,8.26806E+17
8.43E+17,no,no,no,no,yes,8.42772E+17
8.09E+17,no,no,weak,no,yes,8.09176E+17
8.36E+17,no,no,no,yes,yes,8.36326E+17
8.10E+17,yes,weak,weak,no,yes,8.10079E+17
8.36E+17,no,no,no,no,yes,8.35506E+17
8.29E+17,no,no,no,no,no,8.29386E+17
8.39E+17,no,no,no,no,no,8.38747E+17
8.08E+17,no,no,no,no,no,8.07613E+17
8.28E+17,no,no,no,no,no,8.27584E+17
7.86E+17,no,no,no,no,yes,7.86247E+17
8.49E+17,no,weak,no,no,yes,8.49134E+17
8.52E+17,no,no,no,yes,yes,8.51783E+17
8.36E+17,no,no,no,no,no,8.36206E+17
8.36E+17,no,weak,weak,yes,yes,8.35776E+17
8.43E+17,yes,strong,strong,yes,yes,8.43144E+17
8.16E+17,yes,strong,strong,no,yes,8.16223E+17
7.83E+17,no,no,no,no,no,7.82866E+17
8.46E+17,no,no,no,yes,yes,8.45758E+17
8.47E+17,no,no,no,no,yes,8.4739E+17
8.41E+17,no,no,no,no,no,8.40983E+17
7.85E+17,no,no,strong,no,yes,7.85499E+17
8.25E+17,no,no,no,no,no,8.25059E+17
8.03E+17,no,weak,no,no,yes,8.03176E+17
8.41E+17,no,weak,no,yes,yes,8.41286E+17
8.49E+17,no,no,no,no,no,8.49342E+17
8.35E+17,no,no,no,no,no,8.34859E+17
7.84E+17,no,no,no,no,no,7.8365E+17
8.54E+17,no,no,no,no,no,8.54444E+17
8.44E+17,no,no,no,no,yes,8.44322E+17
8.42E+17,no,no,no,no,no,8.41713E+17
8.34E+17,no,strong,weak,no,yes,8.34476E+17
8.25E+17,no,no,no,no,yes,8.25055E+17
7.94E+17,no,no,no,yes,yes,7.93613E+17
8.25E+17,no,no,no,no,no,8.24703E+17
8.37E+17,no,no,no,no,yes,8.36601E+17
8.41E+17,no,no,no,no,no,8.41258E+17
8.10E+17,no,no,no,no,no,8.10256E+17
8.46E+17,no,no,no,yes,yes,8.45577E+17
8.50E+17,no,weak,strong,no,yes,8.50016E+17
8.02E+17,no,no,no,no,no,8.01855E+17
8.43E+17,no,no,no,no,yes,8.42999E+17
8.00E+17,no,no,no,no,yes,7.99778E+17
8.35E+17,no,weak,weak,yes,yes,8.35436E+17
8.30E+17,no,no,no,no,no,8.29588E+17
8.10E+17,no,no,no,no,yes,8.1007E+17
8.37E+17,no,no,no,no,yes,8.36578E+17
8.22E+17,no,no,no,no,no,8.21778E+17
8.33E+17,no,no,no,no,no,8.32938E+17
8.36E+17,no,no,no,no,no,8.35621E+17
8.39E+17,no,no,no,no,no,8.39435E+17
8.43E+17,no,no,strong,yes,yes,8.43247E+17
8.10E+17,no,no,no,no,yes,8.10081E+17
8.40E+17,no,no,no,yes,no,8.40196E+17
8.42E+17,no,no,weak,no,yes,8.41962E+17
7.84E+17,no,no,no,no,no,7.84038E+17
8.41E+17,no,no,no,no,no,8.41286E+17
8.29E+17,no,no,weak,no,no,8.29421E+17
8.08E+17,no,weak,no,no,no,8.08404E+17
8.00E+17,no,no,no,no,yes,8.0038E+17
8.41E+17,no,no,no,no,no,8.40627E+17
8.38E+17,no,no,weak,no,no,8.38348E+17
8.07E+17,no,no,strong,no,no,8.0699E+17
8.41E+17,no,weak,weak,no,yes,8.41267E+17
7.99E+17,no,no,no,no,no,7.98832E+17
8.25E+17,no,no,no,no,no,8.25051E+17
8.22E+17,no,strong,weak,no,yes,8.21709E+17
8.35E+17,no,weak,no,yes,no,8.35422E+17
8.56E+17,no,no,no,no,yes,8.56495E+17
8.38E+17,no,no,no,no,no,8.38325E+17
8.12E+17,no,no,no,no,yes,8.12306E+17
7.84E+17,no,no,no,no,yes,7.84406E+17
8.45E+17,no,no,weak,yes,yes,8.4503E+17
8.48E+17,no,no,no,no,no,8.47809E+17
8.35E+17,no,weak,no,yes,yes,8.35034E+17
8.23E+17,no,no,no,no,no,8.23446E+17
7.91E+17,no,no,no,no,yes,7.90858E+17
7.84E+17,no,weak,strong,no,yes,7.83737E+17
8.48E+17,no,weak,no,no,yes,8.47522E+17
8.24E+17,no,weak,weak,yes,yes,8.23551E+17
7.86E+17,no,no,strong,no,yes,7.8628E+17
8.56E+17,no,weak,weak,no,yes,8.55857E+17
8.35E+17,no,strong,no,no,no,8.34872E+17
7.86E+17,no,no,no,no,yes,7.86191E+17
8.35E+17,no,no,weak,yes,yes,8.35283E+17
7.86E+17,yes,strong,weak,no,yes,7.86094E+17
8.31E+17,no,no,no,no,no,8.3082E+17
8.01E+17,no,no,no,no,no,8.01011E+17
8.55E+17,no,no,no,no,no,8.55035E+17
8.14E+17,no,no,no,no,yes,8.14423E+17
7.83E+17,no,no,no,no,no,7.83342E+17
8.47E+17,no,no,no,no,yes,8.46743E+17
8.22E+17,no,no,no,no,yes,8.22106E+17
8.10E+17,no,no,no,no,yes,8.1042E+17
8.44E+17,yes,strong,no,no,yes,8.43939E+17
8.35E+17,no,no,no,no,no,8.3544E+17
7.83E+17,no,no,no,no,yes,7.82689E+17
8.25E+17,yes,strong,weak,no,yes,8.24712E+17
8.14E+17,no,no,no,no,no,8.13729E+17
8.41E+17,no,no,no,yes,yes,8.41243E+17
8.22E+17,no,no,no,no,no,8.2241E+17
8.41E+17,no,no,no,no,no,8.41272E+17
7.86E+17,no,no,weak,no,yes,7.85796E+17
8.39E+17,no,weak,strong,no,yes,8.38697E+17
8.51E+17,no,weak,no,no,yes,8.51332E+17
8.37E+17,no,no,no,no,yes,8.37299E+17
8.00E+17,no,no,no,yes,no,7.99529E+17
8.51E+17,no,no,no,no,no,8.50787E+17
8.05E+17,no,no,no,no,yes,8.05425E+17
8.36E+17,no,weak,no,yes,yes,8.35516E+17
8.43E+17,no,no,no,no,yes,8.43052E+17
8.50E+17,no,no,no,no,no,8.49784E+17
8.35E+17,no,no,no,yes,no,8.35414E+17
8.49E+17,no,weak,no,no,yes,8.48638E+17
8.09E+17,no,no,no,no,no,8.09135E+17
8.37E+17,no,no,no,no,no,8.37305E+17
7.89E+17,no,no,no,no,no,7.8883E+17
8.26E+17,no,no,no,no,yes,8.25993E+17
8.35E+17,no,strong,no,yes,no,8.35467E+17
8.22E+17,no,no,no,no,no,8.21631E+17
7.84E+17,no,weak,strong,yes,yes,7.83997E+17
8.35E+17,no,weak,no,no,yes,8.35415E+17
8.25E+17,no,no,no,no,yes,8.25392E+17
8.04E+17,no,no,no,no,yes,8.03716E+17
8.33E+17,yes,strong,strong,no,yes,8.32593E+17
8.35E+17,no,no,no,no,no,8.35393E+17
8.08E+17,no,no,no,no,no,8.07973E+17
8.27E+17,no,no,no,no,yes,8.26689E+17
8.29E+17,no,weak,weak,no,yes,8.2852E+17
8.48E+17,no,no,no,no,no,8.47576E+17
8.51E+17,no,no,no,no,no,8.51325E+17
8.44E+17,no,weak,weak,yes,yes,8.44447E+17
8.53E+17,no,no,no,no,no,8.52523E+17
8.31E+17,no,weak,no,no,yes,8.30558E+17
8.47E+17,no,no,no,no,yes,8.47372E+17
8.18E+17,no,no,no,no,no,8.17862E+17
8.06E+17,no,no,no,no,no,8.05908E+17
8.41E+17,no,no,no,no,no,8.41386E+17
7.91E+17,no,no,no,no,no,7.90549E+17
8.43E+17,no,weak,strong,no,yes,8.4309E+17
