text,hate speech
"Homem de verdade que não sabe desenhar um Pinto, não conhece o pau que tem! Honre seu Pinto!!!!",0.0
" é viver com dignidade, é um conceito em extinção plena ! Aqui tem o foco da resistência!",0.0
Gostar de mulher sem ter vergonha  ,0.0
Heterosexual e homem de verdade  ,1.0
Saber pegar sua mulher sem parecer um babaca  ,1.0
"Geisy no Fantástico se deu nota 8! Más noticias Geisy, isso é ilegal, a gente é quem tem que dar a nota. E vc é um 4 ruim !",0.0
" os parametros para notas são complexos, em resumo: Marlene Mattos é 0, Monica Bellucci é 10 e vc só pegaria a partir do 5 bom...",1.0
" não fala de boquete, recebe. RT  """"Liberdade""... significa falar de boquete como quem fala do clima....",0.0
Vão comer arroz e feijão seus fdp frescos do caralho !!!!!!,0.0
Um  RT  Pra vc que desmaia qdo tira sangue ... Chegou o Plano OdontoMacho:  /(via ,0.0
"Se o Kassabe fosse  diria ""A culpa é minha, não fiz projeto algum para as chuvas e de vcs povão porco que não cobra nada",0.0
"Sobreviver no Haiti, missão:  MESMO!",0.0
 Vc é  ? E tem Twitter ?,0.0
video clipe da semana: ,0.0
 usa twitter ? é a pergunta que fazem a todo momento.... !,0.0
"Claro que sim, é só vc não ser um babaca nerds, um valentão da rede, uma mulher imbecil, um hipster freak ou viciado em celebridades.",1.0
"A propósito  não vai a Campus Party, lugar de baitolinhas sem amigos reais!!!! e muito virgem também.",0.0
 ? não! homem na metade - ,0.0
" não precisa de  , puta parada de Barangas-Nerds atrás de rolas virgens! Pra isso tem sites pornôs bem melhores...",1.0
" ! Esse lugar que deve feder espinha azeda que passou da validade, tem menos mulher do que um vale tudo em Juazeiro !",1.0
"Quando o  viu o   gritou: Steve!!! Mesa 7, 2 cervejas, 4 copos americanos, uma porção de fritas e outrade calabresa!",0.0
homem que é homem só conhece dois cheiros de mulher: o bom e o ruim.,0.0
"não usa camiseta sem manga, a menos que vá malhar ou praticar algum esporte.",0.0
"Deus é justo, mas a calça da Carol... MAMÃEEEE!",0.0
faz campeonato de peido com os amigos.,0.0
bebe cana pura e não faz careta.,0.0
Homem que é homem arrota com suco de laranja.,0.0
Palavra do dia que homem que é homem não diz: Fragrância.,0.0
"homem que é homem arrota com suco de laranja, no ouvido da namorada.",0.0
Homem que é homem só come carne. Peixe é coisa de bixa.,0.0
faz pontaria em qlq coisa q der na telha com jato de mijo.,0.0
não lava aquela cueca q acabou de comprar antes de usar,0.0
Homem que é homem brinca de girocóptero no banheiro da casa da sogra.,0.0
"conhece três cores: azul, vermelho e amarelo.",0.0
Homem que é homem come doritos de pimenta com geléia extra-forte de pimenta e guaraná ice.,0.0
O porteiro é  RT  Massagear o EGO de uma mulher não é elogiar sua bunda e seus peitos. Isso o porteiro faz,0.0
"tem mão de homem, ou seja, com calos.",0.0
Homem que é homem não assiste a fazenda.,0.0
"Musical? kiporréssa?!"" Por um homem que é homem",0.0
SEXO-CHURRASCO-CERVEJA-DORMIR !  ,0.0
Homem que é homem não nota o esmalte das mulheres,0.0
Homem que é homem não come; bebe.,0.0
Homem que é homem troca o pênis por 1 fígado a mais.,0.0
não brocha com calcinha bege,0.0
não sabe que cor é bege,0.0
 se não sabe nadar amputa as pernas! Melhor um inválido do que um incompetente.,1.0
"Sim, eu tenho mais o que fazer do que ficar twittando para seu entretenimento!",0.0
Manda pro seu amigo franguinha - ,0.0
Feliz dos homens que gostam de mulheres - ,1.0
Aquelas 130 operárias que foram queimadas dentro da fábrica em 1857 são   !  mais que muito bundão covarde sem carater.,0.0
 quando vacila assume rapidamente a responsabilidade e paga o erro com humor!,0.0
Dar risada de si mesmo:  ! Rir das cagadas alheias melhor ainda ...,0.0
Essa hora sexta feira  não vai pra baladinha de vagabundo....Essa hora já demos duas! Agora é só relax...,0.0
 cedemos ao encanto e caímos de boca meu caro!,0.0
Fala ai mariquinhas e afins.... Como vai a falta de culhão para resolver qualquer coisinha ?,1.0
Agora sim  pode usar perfume - ,0.0
 Perfume pra mão jovem amante.....pra mão. Cappice?,0.0
"Mesmo a pedidos, me recuso falar do BBB!  não entra em programinha pra ganhar milhão. A gente ganha na batalha do dia a dia!",0.0
"Fora que só tem frangas ali. Bombadinhos chiliquentos, gays que exploram suas condições e pedaços de carne para a massa carcerária!",0.0
Ricky Martin!!!!! Demorou tanto tempo assim pra assumir pq? Tava dando a bunda? É? Não se reprima caralho! Literalmente pra vc....,0.0
"No futebol,   é atacante. Acha meio-de-campo coisa de veado.",1.0
  não sai mostrando a sua bunda em época de carnaval.,0.0
  não pergunta à esposa/namorada onde ela quer ir. Fala pra onde eles vão e pronto.,1.0
  acorda cedo pra assistir os jogos da Copa.  ,0.0
 esse é o espirito true man!,0.0
Pra você que não gosta de futebol. Foda-se!!!! Seu mané sem alma.,0.0
"Aliás, pra que ver futebol na COPA se você não vai acompanhar nada nos próximos 4 anos de novo. Deixe quem gosta ver em paz!",0.0
Frangas de plantão ! EU VOLTEI !!!!! CHHUUUUUPAAAAAA,0.0
"Vc é chique benhe
 (@ryan_reminho live on ",0.0
"Nossa, não gosto de cameras.. rs (@ryan_reminho live on ",0.0
"Tadinho do Goby rsrsrs
 (@ryan_reminho live on ",0.0
"Bom, gente, boa twitcam pra todosssss.... CHeirossss (@ryan_reminho live on ",0.0
" OUvindo a música Preciso de vc.. Excelente, linda! Foda, pq tô separando. PQP...",0.0
" Excelente post, história tb... :)",0.0
 Obrigado pelo seu apoio e contamos com vc para a divulgação da campanha e as    e  ,0.0
" kkkkkk massa, né? Pode passar pra frente, claro! Cheiros!",0.0
Já sentiram q tá tudo errado? Q as pessoas mais importantes acabam s perdendo por erros/inseguranças tuas?   Hora de mudar! Boas noites!,0.0
 Tá no msn????,0.0
" Nossa, ta chiques rs.. mtos contatos hahaah ta boa?",0.0
" NUsssss, magavilha, heinnn. MAssa esse promo!",0.0
Com H maiúsculo não tem Twitter. Então você já sabe quem deve ter criado esse perfil.,0.0
"Não gosta de ""bater papo"" no MSN. Ele responde porque os outros falam. Nem tem tempo pra frescura.",0.0
"Não ""faz as unhas"" e nem corta com tesoura, corta com o trinco mesmo.",0.0
"Não usa roupa cor-de-rosa, nem roxo.",0.0
Não faz a barba todo dia.,0.0
Não gosta de fazer compras. Faz porque a mulher força.,0.0
Olha primeiro pros peitos das mulheres.,1.0
"Gosta de futebol, cerveja e mulheres.",0.0
"Tem amiga, mas morre de vontade é de comê-las!",1.0
Eu volteiiii agora pra ficarrrr,0.0
Convida nui de Sampa! RT     Vamos p uma baladinha em sampa???     e Lucas,0.0
"Ninguém chega em casa falando “mãe, sou hétero”. Então por que tem que chegar e dizer “mãe, sou gay”?” BY   ",0.0
" Taí.. qria um picolé de carambola. Ou Jambo.  ... Mas, o dia, hj, mto trab. E a noite? ""A solidão é fera...",0.0
Oxente! Pq? Sou tão santa... rs...RT    oooooooooo maluca,0.0
"não! 1 coisa ñ elimina a outra! RT   ain menina tenho entrevista d emprego semana que vem, vou sair da prostituição  ",0.0
 A pimenta comentada na estrevista:  ,0.0
Ainda não acredito que não estarei em   dia 24/07 no   com a  Serio! Saco!  ,0.0
 Hj tdo mundo preoc c uma colega no escrit que eu sabia q tinha ido fazer entrevista. Eu disfarçando e fazendo a preocupada!,0.0
Não! Nasceu em 13.12.1978!  ! Meu Apelido de infância: Maria Desastre RT     tá pra nascer pessoa mais desastrada que eu.,0.0
Hj eu vi a  perguntando p  no TT como funciona a promoção e a Dona Morangorespondendo como funciona  ,0.0
" É sério. Qq dia te relato umas boas. Sou especialista pós-graduada em auto flagelação e me formei em ""desligamento"": exemplo...",0.0
 Ex: Só hj percebi que vc que é Promoter do Comunidade Morango. Ainda tô tentando descobrir quem é tua sócia..  ,0.0
" Aff, que tutorial não é tédio??? ^VÊ um de edição de vídeo que vc entra numa facul de maquiagem",0.0
" Q fodas, hein amigo...",0.0
" É q vc nunca falou comigo Madry, então, fiquei triste quase ligando pro   pra pedir oração. Agoraestoufeliz",0.0
"Adoro essa energia daqui. Não gosto de lembrar que vou trabalhar no feriado. Mas, gosto de ter emprego. Então tá ótimo.. rs.",0.0
"Tá doendo simmm, tá doendo em mimmmmm... NAMORADA DE FELIPE MELO- ",1.0
" Do jeito que sou desastrada, se coloco copo de água em cima da Tv, fico sem!    ",0.0
 Começou fala que eu te escuto!!! (Assistir Dr House dá nisso) hahahaha,0.0
" Qq dia te relato umas. Sou pós-graduada em auto-flagelação e m formei em ""desligamento"". Apelido d infancia: Maria Desastre.",0.0
"É, POR QUÊ? RT     Vc me deixou..! pq??",0.0
" Bora fazer um campeonato, Madry? hahaha... Vc podia ser minha mãe, embora ache que não tem idade.. snifff  ",0.0
" Ia dar boa noite, mas, vc ja foi então, boa sexta! hahaha",0.0
"Boa noite, Lindinhas da noite rs.   
",0.0
"Indo dormir ao som de uma linda música, e da crença de que sim, o que é verdadeiro é para sempre. ",0.0
 ;) Olha o vídeo que postei agora... e durma bem. Cheiros!,0.0
" Canhão com retorno? Não fale isso pro Felipe Melo, vai que ele se anima... Boa noite!  ",0.0
" Hello, pois é, mas, estava interagindo... thudhu bom ?",0.0
" NOssa, nem me fale, saudade da esquisita..",0.0
 Tb soninho.. e eis que trabalho amanhã. hj é feriado em sampa e tb trabalho rs affff rs,0.0
" Oi, Pssoa.. Tá morando onde aqui em Sampa?  ",0.0
 que é moita?   hehehe,0.0
" eu tb, Aclimação    ",0.0
" Constituição de 1932. Porra, nem minha bisavó era nascida em 32.  ",0.0
 para de parar.  ,0.0
Pssoa Fina... rsrs RT   jardins,0.0
" Uma galera que se reuniu contra o governo intransigente de  Vargas. Oficialmente min 800 pssoas morreram, cidades bombardeadas",0.0
"Até que enfim alguém me entende nessa life RT  Ah, a gente tem que complicar, sim, uma vida totalmente previsível ñ tem graça...",0.0
" Vc conhece a Banda   ?   ""Runaway"", ""No frontiers"" ""At Your Side"".. e por aí vai (AmoMuito)",0.0
 Vale MUITO a pena.. Tenho 02 DVDs incríveis. Se morasse em Sp faria-te uma cópia.  ,0.0
"Gente, li piadinhas fodas agora.. vou trazer uma, perai",0.0
 Quer uma dica meio trash pra aumentar a galera do show?   >> Bate Papo UOL salas de minas. Da uma divulgada!,0.0
" Não deixe as lembranças e saudades te minarem. Enfrente, ouça músicas.. (Essa é linda msm). Conhece The Corrs?",0.0
" Sei lá, inventei agora..   hahaha",0.0
" Oi, cara-metade do desastre mor... dei umas fuçadas hj no blog!",0.0
" Ixi, amiga.. marron.. marromenos.. termino de namoro, foda ne",0.0
" Nem eu, amiga.. nem eu. e como ela diz:  ",0.0
" O blog é uma dilicinha.. ja conhecia sim, vou comentar amanha... hj tô de bode, sozinha e abandonada em sampa rs",0.0
" vcs moram por onde? Eu moro na Aclimação, perto da Liberdade, Vergueiro, Paraíso...",0.0
" morava no Jabaquara, comprava num açougue massa na Av Sta Catarina, só lá tinha a seleta de legumes que eu amava... sniff",0.0
"Galera, tenho umas fotos pra mostrar de terça, quando a sra  deu entrevista pra uma revista com vestido micro.. querem?",0.0
 Eu amo esse bairro e adivinha? abriu uma temakeria do lado de casa hahaha  ,0.0
As 03 mosqueteiras! A  e a  não se livraram de perguntinhas básicas!   ,0.0
" Ou seja, faltam 0:55 min.. rs",0.0
Pssoas incríveis que só comem no Spoletto. rs. ,0.0
E o chamado Cãomor junto com uma repórter cara de sono... rs. Mto legal! ,0.0
 Viu as fotos que postei?,0.0
Vou fazer uma comidinha pernambucana agora... quem quer?? ;),0.0
"Chega, sem som e sem imagem não dá, né? Xerus (@suwerner live on ",0.0
" SOu nada, faço o básico hahaha",0.0
" Taí, sou ótima com sobremesas, doces, bolos...",0.0
  da  vindo pra Sppp rs....,0.0
"Gente, quem tá no pique de um JV??? Coisa leve.. Ou não! rsrsrs",0.0
"  RT   se eu tivesse na Liquid Love, iria participar da Promoção ME INFARTA MORANGO, kkkkkkk  ",0.0
" OI! Sugeri um JV e ninguém me deu bola... tá afim? vc te mais moral que eu, vem mais gente. rsrsrs",0.0
" Gosto não, acho ela bonita nao, nem nada nao... huahahaauahauhau",0.0
" hahahaha,   rs tb acho",0.0
" Eu tb, mas, sou uma futurarecemsolteiraaindaapaixonada   rs",0.0
" Own gata, depende só de mim não.. nem dela.. mas, vamos ver o que o futuro nos reserva... E tu? és solteira???",0.0
" Puts, complicado... Mas, ele respeita tuas sensações? Se sim, ótimo. Tem que ver então como ele encara isso.. Seicomoé",0.0
" Normalll.. imagina a situação da pssoa tb ne, fodas...",0.0
uia RT      Fia nem te conto o que tô fazendo..rsss,0.0
"E ele é a cara do meu querido amigoo ex-patrão  RT  Um dos melhores escritores do país, Fabrício  no Jô! =)",0.0
" Eu! Tive problemas sérios! Pq meu cabelo era crespo. Diziam que eu tinha piolho e isso causou traumas, acredita?",0.0
" Bem exagerado, fui váarias vezes pra secretaria. Comecei alisar o cabelo na adolescencia, Hj queria te-los cacheados e nao posso",0.0
 Minha vingança branca é que hj tô melhor (aparencia) que todas que me magoaram.. rs.,0.0
" Tive um problema esses tempos sim, que acho que foi reflexo... mas, é longa a historia pra contar aqui.. foi bem complicado.",0.0
" Puts,o  não é gay... Legal a gente ver que as aparências enganam e não fazem a MENOR diferença.  ",0.0
"Hahaha, ""esse moço"" foi ótimo! Só o  RT  RINDO MUITO com esse moço que ta no Jo!",0.0
Acho que vou pegar carona com a  e mimir,0.0
PQP o  tá me fudendo com essas verdades absolutas!!!  ,0.0
" Oww, linda.. trabalho amanhã =/ dó",0.0
"Gente, tá ABSURDAAAA a briga Jô Soares X  huahahhuahau",0.0
 E o sono... rs. Cheiros. Tb adorei!,0.0
"Alguem aí quer peixe? Pq eu já pesquei vários aqui....
Cheiros a todasssss",0.0
"Owww, esquisita,  a  tá te imitando com tt pala hahaha",0.0
Te amo perdidamente mais agora! RT     QUAL A GRAÇA DE TER 5846844360681615 FOLLOWERS SE SEUS TWEETS SÃO UMA MERDA????,0.0
 Num dá vontade de fazer um comentário desaforado pra essa menina?  Acho que vou fazer!,0.0
" Verdade.. gosto dos meus pouquinhos, mas, que interagem...",0.0
Prezada  Quando 2 pessoas usam o mesmo computador pode acontecer de uma postar na twitcam c o perfil errado. (@marlenebicalho),0.0
 Certamente aconteceu isso quando a  postou o comentario c a ID da  ,0.0
 Pouco que conheço daqui e do BBB me fizeram ter certeza de que a  jamais mentiria aqui... (@marlenebicalho),0.0
" Então, reflita no teu comentntário, friend. E não esotu justificando ou defendendo pq é famosa. Faria com qq Pssoa! Abç",0.0
SAbem o que eu descobri??? Uma pessoa Acróstica! Adivinhem quem é??? hahahah,0.0
Tenho tanto medo de avião que quando ele passa lá em cima meu coração acelera... Afff,0.0
"Cara, isso não é um sonho???   ",0.0
 Tem galinha gisada? ahhh me convidaaaaaaaaaaaa rsrs  ,0.0
  RT  Se bem que podemos mesclar..uma bela espanhola numa linda holandesa...rsrsrs!,1.0
"Olá, Gatas (e gato hahaha)          ",0.0
" que baummm hein, tem coisa mais gostosa? Eu ando reflexiva.. mas, enmm paz. Tb mto bom!",0.0
" =/ Não sei o que se passa, mas,  !",0.0
 Fica com Deus! Luz e paz!,0.0
" Ah, convivendo apenas comigo esse fds... Precisava disso... Pensando em mtas coisas e trabalhando no meio disso rs.",0.0
" Ixi, nêga, tá em Sampa não? Aqui tá um dia lindo.. Nem sei que tô fazendo em casa acompanhada de uma colica danada.. =)",0.0
" ""...Vim parar nessa cidade p força das circunstâncias.. Aprendi a m virar sozinha.. E NÃO MUDO MINHA POSTURA SÓ P T AGRADAR""!",0.0
"Vamos fazer uma corrente? ""TWITTER, vem pros 160 Caracteres!!! Quem adere?  ",0.0
 Gatooooooooooooooooo Tava sentindo tua falta....,0.0
Não vou pro céu!  ,0.0
"Acho que a Morango tem um céu so pra ela rsrs   Nossa, eu tô em Sampa! Aqui n B Vista tá nubladim e meio frio...",0.0
" Hahaha, pq no tatuapé tava sol, na Aclimação sol, só na Bela vista que tava nublado??? rsrs Eêee ",0.0
" ooowwww, amorrr, ja chegou???",0.0
kkkkkkkkkkkkkkkk RT  Mamy gloss mandou msg pro torpedao!  ,0.0
 Vi a DM Pssoa! Tudo certim..,0.0
 Quero saber tudooo como foi o diaaaa!,0.0
" Magina.. rs. Dia tão totoso hj em Sp. Eu fiquei em casa, trab ontem até 10 da noite, aff rs. E tu, MAdry?",0.0
" NOssa, não há furto? que pena.. essa é a graça! rsrs. Cheirosss",0.0
"Amores, pra quem gosta de boa leitura. E até pra quem não gosta,  , da  ",0.0
"Linda,  Ajuda a divulgar: O primeiro livro da  ""A ESCRITORA E O MUSICO"" www.aescritoraeomusico.blogspot.com",0.0
"AMore  Ajuda a divulgar: O primeiro livro da  ""A ESCRITORA E O MUSICO"" www.aescritoraeomusico.blogspot.com",0.0
" Amore Ajuda a divulgar: O primeiro livro da  ""A ESCRITORA E O MUSICO"" www.aescritoraeomusico.blogspot.com",0.0
" :) lindooooooo, eu que reviso.. da uma lida quando puder",0.0
" Nossa, tme gente que não faz tattoo pra filho.. me ajuda ne? Isso foi passional!",0.0
" OI, Madry, dá uma fuçada lá, primeiro livro da minha amiga  www.aescritoraeomusico.blogspot.com (eu reviso)",0.0
" Vc é gente, cara! rsrs, brigada lindona desastrada do meu S2",0.0
" Miga, dá uma fuçada lá, primeiro livro da minha amiga  www.aescritoraeomusico.blogspot.com (eu reviso)",0.0
" dá uma fuçada lá, mãe, primeiro livro da minha amiga  www.aescritoraeomusico.blogspot.com (eu reviso)",0.0
" dá uma fuçada lá, primeiro livro da minha amiga  www.aescritoraeomusico.blogspot.com (eu reviso)",0.0
" Oi, bonita dá uma fuçada lá, primeiro livro da minha amiga  www.aescritoraeomusico.blogspot.com (eu reviso)",0.0
" Gtdá uma fuçada lá, primeiro livro da minha amiga  www.aescritoraeomusico.blogspot.com (eu reviso)",0.0
 Naoeammmm pq o alter ego tb ama os amigos nessa vida! rs,0.0
Preguiça de ir dormir...,0.0
"Adoro essa frase: ""Viva os loucos, os normais estão acabando com o mundo""   rs...",0.0
 Lindo inclusive! Intrigante! Isso é massa!,0.0
" Excelente, parabéns! E que venham as mudanças! www.morangoexpress.blogspot.com/",0.0
" queria comer polvo, mas o da copa gerou apego",0.0
Acho que vou... ai que preguiça de dormir... xerus!,0.0
 Mto fofo msm... Qual a raça??,0.0
 Pronto.. É nui aqui tb! =),0.0
" PArece que tá morrendo né? Liga naum, tem um cachorro aqui no prédio que sempre confundo com uma foda.. rs",0.0
 Pois é.. hahaha.. vi teu forms..,0.0
" Matéria sobre o   no Fqte. mto bom o programa,neam? Tenho que ver mais! Parabéns provcestudo.  ",0.0
  Cheirossssssssssssssssssss boa noite!,0.0
"Oieeee, amoresss! Tô mtooo emocionadaaaa! MINHA SOBRINHA LINDAAA NASCEUUU! Parabéns Kilma e Lipe. Mano, te amo! Bem vinda, Karol!  ",0.0
"Oi, amores...        Vcs num tem noção da correriaaaa Aff Xeru",0.0
"   Hj a correria nao me deixou interagir, mas vcs sao Especiais! Saudadessss. Cheirossss",0.0
 Boa noite esquisitinha legal... rsrs zzzzzzzzzz bjuu zzzzzzz,0.0
"Bom dia amores... Os dias passando, as mudanças se tornando inevitáveis e próximas... vai ficando mais difícil.   ?",0.0
Homem se verdade não tem dia pra comemorar! Todo dia é dia.,0.0
E vc aí franguinha dessossada que só reclama da vida! Para de chorar porra.,1.0
Você jovem que gosta de RESTART! Você ainda vai ter vergonha de si mesmo.,0.0
Hei Jovem espinhudo! AXÉ NÃO! RESTART NÃO! LEGIÃO URBANA NÃO ! Tenha um mínimo de decência nessa vida ordinária que vc leva!,0.0
A e antes de voltar ao mais importante e abrir a minha cerveja matinal: Foda-se !,0.0
Se vc gosta de Legião Urbana. Por favor de Unfollow. Aqui a gente tem vergonha na cara e bom gosto musical porra!,0.0
Qual político covarde bundao eu vou começar a xingar nessas eleições ?,0.0
"Aliás se vc quer xingar alguém direito, não fale da mãe do sujeito, apenas o chame de bundão ! Basta.",0.0
Exemplo: Nizan Ganaes é um Bundão.,0.0
"Aliás, o universo da publicidade é repleto de bundões !!!!",0.0
Ei amigo ! Vai tomar no cú !,0.0
Feliz dia do amigo que também come a gordura da Picanha!,0.0
Feliz dia do amigo que toma pinga!,0.0
Feliz dia do amigo que faz escolhas erradas!,0.0
"O foco da resistência é aqui! Ainda gostamos de mulher, pinga, rock n roll e futebol ! Ainda gostamos de churrasco, carne sangrenta...",0.0
Gostamos de errar!,0.0
Direto do front e contra toda a idiocracia que se criou ante nós! Aqui quem fala é mais um sobrevivente.,0.0
Na luta contra os jogadores de Golf e todos esses pulhas vagabundos bundões que insistem em passar creme na porra do rosto! Creme não porra!,0.0
"O gay assumido bem resolvido é bem mais  do que frangas arrogantes, dissimulados que não enfrentam a própria cara no espelho!",0.0
"Não da pra aguentar conviver com um fã de Legião Urbana!!!!! Na duvida, fuja.",0.0
"Aliás, qualquer reunião a base de violão é um local propicio para um massacre de serra elétrica!  E eu apoio.",0.0
"Não, o Dunga não é  ! É apenas um ignorante de verdade.",0.0
"Aliás, quem é essa porra de Felipe Neto? Não sei, mas só de ser Neto já imagino que fracassou!",0.0
CBF = Confederação de Bundões do Futebol !,0.0
Final de semana = foda-se !,0.0
"Homem de verdade não bate em mulher! Isso é coisa de imbecil, de babaca, de covardes bundões.",0.0
"aos mariquinhas que passam o dia twittando, eu voltei.",1.0
"Charlie Sheen, to contigo meu querido amigo.",0.0
O Pensamento masculino. Sem rodeios! Bem vindo você homem. Você mulher.   Aguarde!,0.0
Boa tarde você que acha que vai nos atingir ou reconquistar com as fotinhos e os comentários da balada. Só afasta mais.  ,0.0
Seja piriguéte e nos conquiste no ato. Se dê o valor e nos conquiste por toda uma vida.,1.0
"Você que fica enrolando pra aceitar um convite, mas não tem coragem de dizer não. É medo de queimar o cartucho para uma próxima, né? Eu sei.",0.0
"Não é só porque tá na moda, que é bonito, mulheres.  ",0.0
Mulher é um parque de diversões. A começar pelo humor: uma montanha-russa.,1.0
 O que você precisa é não precisar de ninguém.,0.0
"Você acha que a gente acredita mesmo nessa felicidade toda do Facebook? Bêbada, balada, amigas, ""não preciso de homem"" No mínimo  ",0.0
"Você, que larga indireta no twitter, acaba pagando vale de abandonada com toda a timeline. Quem realmente deveria ser atingido nem vê.",0.0
"Você que adora alfinetar os amigos homens falando de famosos lindos. Lembre-se que eles não pegariam você, se a conhecessem.",1.0
"Bom dia você que paga de pegadora, espalha tudo e sempre dá um jeito de contar suas aventuras. Quem muito fala, pouco faz..",0.0
Preciso arrumar meu quarto. Contrato estagiário.,0.0
O orgulho hetero é tão válido quanto o orgulho homo. Se um pode ter orgulho por que o outro não?  ,1.0
"Não somos discriminadores, ao contrário, queremos igualdade!  ",1.0
"Nós heteros, que AINDA somos maioria, devemos nos unir contra a ditadura da minoria. Abaixo a   !!!!",1.0
 Orgulho Hetero seempreee .,1.0
 Orgulho Hetero... show *w*,1.0
 Orgulho Hetero seempree,1.0
 Orgulho Homo pode tweetar mas Orgulho Hetero é preconceito ? What's the problem with u guys ? '-',1.0
 Orgulho Hetero  Homofobia. Abs,1.0
 Antes o homossexualismo era proibido.Depois passou a ser tolerado.Hoje é normal.Eu vou embora antes que vire obrigatór ...,1.0
 Quem é a favor da criação do Dia Nacional do Orgulho Heterossexual - popularmente falando Dia do Hétero - diga EU.,1.0
 A cada dia que passa cresce aindamais os adeptos à Marcha do Orgulho Hétero!!! RT Pelos poucos héteros que restam!!,1.0
"Abaixo, apenas alguns exemplos de manifestação a favor do direito ao orgulho hetero.",1.0
A luta continua   !,1.0
"Eles fizeram a marcha deles, nós temos o direito de nos expressarmos também. Dia do   JÁ!",1.0
 Como ter orgulho do q eu sou reprime qm não é?  ,1.0
"Há homens que têm patroa.
Há homens que têm mulher.
E há mulheres que escolhem o que querem ser.""  ",1.0
"De erro em erro, vai-se descobrindo toda a verdade.""
 ",0.0
"Eu sou aquela mulher que fez a escalada da montanha da vida, removendo pedras e plantando flores.""  ",0.0
"Sou uma mulher madura, que as vezes brinca de balanço. Sou uma criança insegura, que as vezes anda de salto alto.""  ",0.0
"A minha forma de brincar é dizer a verdade. É a brincadeira mais engraçada do mundo.""  ",0.0
"A maior ambição da mulher é despertar o amor.""  ",1.0
"A mulher tem uma única via para superar o homem: ser mais mulher a cada dia.""  ",0.0
"O desejo do homem é pela mulher, mas o desejo da mulher é pelo desejo do homem. Ou mais...  ",1.0
