hex code,emoji_code,emoji
&#x1f339;,\U0001F339,🌹
&#1043215;,,💕
&#1043291;,,💦
&#1043292;,,💧
&#1043293;,,💨
&#1043323;,,💯
&#1043350;,,👊
&#1043351;,,👍
&#1043353;,,👆
&#1043357;,,👋
&#1043358;,,👏
&#1043359;,,👌
&#1043360;,,👎
&#1043473;,,󾰑
&#11015;,,⬇
&#11088;,,⭐
&#11093;,,⭕
&#12288;,,󾰑
&#12290;,,。
&#127344;,,🅰
&#127378;,,🆒
&#127379;,,🆓
&#127382;,,🆖
&#127383;,,🆗
&#127386;,,🆚
&#127463;,,🇧
&#127468;,,🇬
&#127470;,,🇮
&#127480;,,🇸
&#127481;,,🇹
&#127482;,,🇺
&#127744;,,🌀
&#127752;,,🌈
&#127754;,,🌊
&#127769;,,🌙
&#127770;,,🌚
&#127773;,,🌝
&#127774;,,🌞
&#127775;,,🌟
&#127776;,,🌠
&#127795;,,🌳
&#127796;,,🌴
&#127797;,,🌵
&#127800;,,🌸
&#127801;,,🌹
&#127802;,,🌺
&#127804;,,🌼
&#127805;,,🌽
&#127806;,,🌾
&#127807;,,🌿
&#127809;,,🍁
&#127810;,,🍂
&#127811;,,🍃
&#127812;,,🍄
&#127813;,,🍅
&#127814;,,🍆
&#127815;,,🍇
&#127817;,,🍉
&#127821;,,🍍
&#127825;,,🍑
&#127827;,,🍓
&#127829;,,🍕
&#127830;,,🍖
&#127831;,,🍗
&#127835;,,🍛
&#127837;,,🍝
&#127838;,,🍞
&#127839;,,🍟
&#127844;,,🍤
&#127849;,,🍩
&#127850;,,🍪
&#127851;,,🍫
&#127856;,,🍰
&#127861;,,🍵
&#127864;,,🍸
&#127866;,,🍺
&#127867;,,🍻
&#127868;,,🍼
&#127873;,,🎁
&#127874;,,🎂
&#127876;,,🎄
&#127877;,,🎅
&#127880;,,🎈
&#127881;,,🎉
&#127882;,,🎊
&#127887;,,🎏
&#127908;,,🎤
&#127909;,,🎥
&#127911;,,🎧
&#127912;,,🎨
&#127913;,,🎩
&#127916;,,🎬
&#127917;,,🎭
&#127919;,,🎯
&#127922;,,🎲
&#127925;,,🎵
&#127926;,,🎶
&#127932;,,🎼
&#127935;,,🎿
&#127936;,,🏀
&#127938;,,🏂
&#127939;,,🏃
&#127940;,,🏄
&#127942;,,🏆
&#127944;,,🏈
&#127946;,,🏊
&#127969;,,🏡
&#127984;,,🏰
&#128002;,,🐂
&#128008;,,🐈
&#128010;,,🐊
&#128013;,,🐍
&#128014;,,🐎
&#128016;,,🐐
&#128018;,,🐒
&#128025;,,🐙
&#128027;,,🐛
&#128029;,,🐝
&#128032;,,🐠
&#128034;,,🐢
&#128035;,,🐣
&#128036;,,🐤
&#128037;,,🐥
&#128038;,,🐦
&#128043;,,🐫
&#128044;,,🐬
&#128047;,,🐯
&#128048;,,🐰
&#128049;,,🐱
&#128052;,,🐴
&#128053;,,🐵
&#128054;,,🐶
&#128055;,,🐷
&#128056;,,🐸
&#128058;,,🐺
&#128060;,,🐼
&#128064;,,👀
&#128066;,,👂
&#128068;,,👄
&#128069;,,👅
&#128070;,,👆
&#128071;,,👇
&#128072;,,👈
&#128073;,,👉
&#128074;,,👊
&#128075;,,👋
&#128076;,,👌
&#128077;,,👍
&#128078;,,👎
&#128079;,,👏
&#128080;,,👐
&#128081;,,👑
&#128089;,,👙
&#128091;,,👛
&#128094;,,👞
&#128095;,,👟
&#128096;,,👠
&#128103;,,👧
&#128105;,,👩
&#128106;,,👪
&#128107;,,👫
&#128108;,,👬
&#128109;,,👭
&#128110;,,👮
&#128111;,,👯
&#128112;,,👰
&#128114;,,👲
&#128115;,,👳
&#128117;,,👵
&#128118;,,👶
&#128119;,,👷
&#128120;,,👸
&#128121;,,👹
&#128122;,,👺
&#128123;,,👻
&#128124;,,👼
&#128125;,,👽
&#128127;,,👿
&#128128;,,💀
&#128129;,,💁
&#128130;,,💂
&#128131;,,💃
&#128132;,,💄
&#128133;,,💅
&#128134;,,💆
&#128135;,,💇
&#128137;,,💉
&#128138;,,💊
&#128139;,,💋
&#128141;,,💍
&#128142;,,💎
&#128143;,,💏
&#128145;,,💑
&#128147;,,💓
&#128148;,,💔
&#128149;,,💕
&#128150;,,💖
&#128151;,,💗
&#128152;,,💘
&#128153;,,💙
&#128154;,,💚
&#128155;,,💛
&#128156;,,💜
&#128158;,,💞
&#128161;,,💡
&#128162;,,💢
&#128163;,,💣
&#128164;,,💤
&#128165;,,💥
&#128166;,,💦
&#128167;,,💧
&#128168;,,💨
&#128169;,,💩
&#128170;,,💪
&#128171;,,💫
&#128173;,,💭
&#128174;,,💮
&#128175;,,💯
&#128176;,,💰
&#128178;,,💲
&#128179;,,💳
&#128181;,,💵
&#128182;,,💶
&#128184;,,💸
&#128186;,,💺
&#128195;,,📃
&#128201;,,📉
&#128203;,,📋
&#128209;,,📑
&#128213;,,📕
&#128214;,,📖
&#128218;,,📚
&#128221;,,📝
&#128226;,,📢
&#128227;,,📣
&#128240;,,📰
&#128247;,,📷
&#128252;,,📼
&#128266;,,🔊
&#128270;,,🔎
&#128272;,,🔐
&#128273;,,🔑
&#128275;,,🔓
&#128282;,,🔚
&#128293;,,🔥
&#128294;,,🔦
&#128298;,,🔪
&#128299;,,🔫
&#128308;,,🔴
&#128309;,,🔵
&#128315;,,🔻
&#128347;,,🕛
&#128511;,,🗿
&#128513;,,😁
&#128514;,,😂
&#128515;,,😃
&#128516;,,😄
&#128517;,,😅
&#128518;,,😆
&#128519;,,😇
&#128520;,,😈
&#128521;,,😉
&#128522;,,😊
&#128523;,,😋
&#128524;,,😌
&#128525;,,😍
&#128526;,,😎
&#128527;,,😏
&#128528;,,😐
&#128529;,,😑
&#128530;,,😒
&#128531;,,😓
&#128532;,,😔
&#128533;,,😕
&#128534;,,😖
&#128535;,,😗
&#128536;,,😘
&#128537;,,😙
&#128538;,,😚
&#128539;,,😛
&#128540;,,😜
&#128541;,,😝
&#128542;,,😞
&#128543;,,😟
&#128544;,,😠
&#128545;,,😡
&#128546;,,😢
&#128547;,,😣
&#128548;,,😤
&#128549;,,😥
&#128550;,,😦
&#128551;,,😧
&#128552;,,😨
&#128553;,,😩
&#128554;,,😪
&#128555;,,😫
&#128556;,,😬
&#128557;,,😭
&#128558;,,😮
&#128559;,,😯
&#128560;,,😰
&#128561;,,😱
&#128562;,,😲
&#128563;,,😳
&#128564;,,😴
&#128565;,,😵
&#128566;,,😶
&#128567;,,😷
&#128569;,,😹
&#128570;,,😺
&#128571;,,😻
&#128572;,,😼
&#128573;,,😽
&#128574;,,😾
&#128575;,,😿
&#128576;,,🙀
&#128581;,,🙅
&#128582;,,🙆
&#128583;,,🙇
&#128584;,,🙈
&#128585;,,🙉
&#128586;,,🙊
&#128587;,,🙋
&#128588;,,🙌
&#128589;,,🙍
&#128590;,,🙎
&#128591;,,🙏
&#128640;,,🚀
&#128652;,,🚌
&#128658;,,🚒
&#128659;,,🚓
&#128661;,,🚕
&#128663;,,🚗
&#128664;,,🚘
&#128665;,,🚙
&#128677;,,🚥
&#128679;,,🚧
&#128680;,,🚨
&#128681;,,🚩
&#128683;,,🚫
&#128684;,,🚬
&#128686;,,🚮
&#128690;,,🚲
&#128694;,,🚶
&#128700;,,🚼
&#1548;,,"،"
&#1571;,,أ
&#1574;,,ئ
&#1575;,,ا
&#1576;,,ب
&#1577;,,ة
&#1578;,,ت
&#1581;,,ح
&#1582;,,خ
&#1583;,,د
&#1585;,,ر
&#1586;,,ز
&#1588;,,ش
&#1589;,,ص
&#1590;,,ض
&#1591;,,ط
&#1593;,,ع
&#1594;,,غ
&#1603;,,ك
&#1604;,,ل
&#1605;,,م
&#1606;,,ن
&#1607;,,ه
&#1608;,,و
&#160;,,
&#1610;,, ي
&#161;,, ¡
&#164;,, ¤
&#165;,,¥
&#169;,,©
&#171;,,«
&#175;,,¯
&#176;,,°
&#180;,,´
&#187;,,»
&#191;,,¿
&#193;,,Á
&#201;,,É
&#218;,,Ú
&#225;,,á
&#228;,,ä
&#232;,,è
&#233;,,é
&#237;,,í
&#241;,,ñ
&#243;,,ó
&#246;,,ö
&#247;,,÷
&#250;,,ú
&#251;,,û
&#252;,,ü
&#281;,,ę
&#299;,,ī
&#322;,,ł
&#57361;,,
&#57423;,,
&#57607;,,
&#57608;,,
&#57933;,,
&#58113;,,
&#58143;,,
&#58167;,,
&#58373;,,
&#58380;,,
&#58381;,,
&#58382;,,
&#58385;,,
&#58386;,,
&#58399;,,
&#58400;,,
&#58407;,,
&#65039;,,
&#65292;,,，
&#65533;,,
&#728;,,˘
&#776;,,̈
&#8211;,,–
&#8212;,,—
&#8216;,,‘
&#8217;,,’
&#8220;,,“
&#8221;,,”
&#8226;,,•
&#8230;,,…
&#8242;,,′
&#8252;,,‼
&#8413;,,⃝
&#8419;,,⃣
&#8482;,,™
&#8594;,,→
&#8805;,,≥
&#8853;,,⊕
&#8986;,,⌚
&#9203;,,⏳
&#9697;,,◡
&#9728;,,☀
&#9729;,,☁
&#9733;,,★
&#9749;,,☕
&#9757;,,☝
&#9786;,,☺
&#9825;,,♡
&#9829;,,♥
&#9832;,,♨
&#9835;,,♫
&#9855;,,♿
&#9889;,,⚡
&#9898;,,⚪
&#9899;,,⚫
&#9917;,,⚽
&#9918;,,⚾
&#9924;,,⛄
&#9981;,,⛽
&#9986;,,✂
&#9992;,,✈
&#9994;,,✊
&#9995;,,✋
&#9996;,,✌
