Language,Emoji&hashtag,Train/test,Model,Model_Specification,TF-IDF,Balance,Average_accuracy_30IT,Std_deviation
Spanish,All,60/40,LR,"Liblinear solver, large C",Yes,Yes,72.94564974,0.580444626
Spanish,All,60/40,LR,"Liblinear solver, large C",Yes,No,73.41541175,0.559570907
Spanish,All,60/40,LR,"Liblinear solver, large C",No,Yes,72.38425408,0.556736668
Spanish,All,60/40,LR,"Liblinear solver, large C",No,No,72.67670601,0.618779409
Spanish,All,60/40,LR,"Lbfgs solver, small C",Yes,Yes,71.86237233,0.796973579
Spanish,All,60/40,LR,"Lbfgs solver, small C",Yes,No,68.74169041,0.906645339
Spanish,All,60/40,LR,"Lbfgs solver, small C",No,Yes,73.51450086,0.559916911
Spanish,All,60/40,LR,"Lbfgs solver, small C",No,No,73.89431556,0.459042213
Spanish,All,60/40,LR,"Lbfgs solver, standard C",Yes,Yes,74.48221874,0.489435941
Spanish,All,60/40,LR,"Lbfgs solver, standard C",Yes,No,74.43901777,0.469312887
Spanish,All,60/40,LR,"Lbfgs solver, standard C",No,Yes,73.59129203,0.544860198
Spanish,All,60/40,LR,"Lbfgs solver, standard C",No,No,73.95468729,0.460025744
Spanish,All,60/40,LR,"Lbfgs solver, large C",Yes,Yes,72.95459629,0.546834301
Spanish,All,60/40,LR,"Lbfgs solver, large C",Yes,No,73.54022521,0.4832473
Spanish,All,60/40,LR,"Lbfgs solver, large C",No,Yes,72.55200179,0.480438023
Spanish,All,60/40,LR,"Lbfgs solver, large C",No,No,72.61294261,0.471845752
Spanish,All,70/30,Naive Bayes,Multinomial,Yes,Yes,,
Spanish,All,70/30,Naive Bayes,Multinomial,Yes,No,,
Spanish,All,70/30,Naive Bayes,Multinomial,No,Yes,,
Spanish,All,70/30,Naive Bayes,Multinomial,No,No,,
Spanish,All,70/30,Naive Bayes,Bernoulli,Yes,Yes,,
Spanish,All,70/30,Naive Bayes,Bernoulli,Yes,No,,
Spanish,All,70/30,Naive Bayes,Bernoulli,No,Yes,,
Spanish,All,70/30,Naive Bayes,Bernoulli,No,No,,
Spanish,All,70/30,SVM,"Linear kernel, small C",Yes,Yes,,
Spanish,All,70/30,SVM,"Linear kernel, small C",Yes,No,,
Spanish,All,70/30,SVM,"Linear kernel, small C",No,Yes,,
Spanish,All,70/30,SVM,"Linear kernel, small C",No,No,,
Spanish,All,70/30,SVM,"Linear kernel, standard C",Yes,Yes,,
Spanish,All,70/30,SVM,"Linear kernel, standard C",Yes,No,,
Spanish,All,70/30,SVM,"Linear kernel, standard C",No,Yes,,
Spanish,All,70/30,SVM,"Linear kernel, standard C",No,No,,
Spanish,All,70/30,SVM,"Linear kernel, large C",Yes,Yes,,
Spanish,All,70/30,SVM,"Linear kernel, large C",Yes,No,,
Spanish,All,70/30,SVM,"Linear kernel, large C",No,Yes,,
Spanish,All,70/30,SVM,"Linear kernel, large C",No,No,,
Spanish,All,70/30,SVM,"RBF kernel, small C",Yes,Yes,,
Spanish,All,70/30,SVM,"RBF kernel, small C",Yes,No,,
Spanish,All,70/30,SVM,"RBF kernel, small C",No,Yes,,
Spanish,All,70/30,SVM,"RBF kernel, small C",No,No,,
Spanish,All,70/30,SVM,"RBF kernel, standard C",Yes,Yes,,
Spanish,All,70/30,SVM,"RBF kernel, standard C",Yes,No,,
Spanish,All,70/30,SVM,"RBF kernel, standard C",No,Yes,,
Spanish,All,70/30,SVM,"RBF kernel, standard C",No,No,,
Spanish,All,70/30,SVM,"RBF kernel, large C",Yes,Yes,,
Spanish,All,70/30,SVM,"RBF kernel, large C",Yes,No,,
Spanish,All,70/30,SVM,"RBF kernel, large C",No,Yes,,
Spanish,All,70/30,SVM,"RBF kernel, large C",No,No,,
Spanish,All,70/30,LR,"Liblinear solver, small C",Yes,Yes,72.34814594,0.943511781
Spanish,All,70/30,LR,"Liblinear solver, small C",Yes,No,69.56140351,0.783268474
Spanish,All,70/30,LR,"Liblinear solver, small C",No,Yes,73.79262352,0.579206944
Spanish,All,70/30,LR,"Liblinear solver, small C",No,No,73.98896726,0.786024333
Spanish,All,70/30,LR,"Liblinear solver, standard C",Yes,Yes,74.46863505,0.719790764
Spanish,All,70/30,LR,"Liblinear solver, standard C",Yes,No,74.82908302,0.753303379
Spanish,All,70/30,LR,"Liblinear solver, standard C",No,Yes,74.15150611,0.731424197
Spanish,All,70/30,LR,"Liblinear solver, standard C",No,No,74.29101103,0.502902269
Spanish,All,70/30,LR,"Liblinear solver, large C",Yes,Yes,73.44964708,0.472967688
Spanish,All,70/30,LR,"Liblinear solver, large C",Yes,No,73.926569,0.717357071
Spanish,All,70/30,LR,"Liblinear solver, large C",No,Yes,72.57381449,0.749993744
Spanish,All,70/30,LR,"Liblinear solver, large C",No,No,72.83143426,0.657461641
Spanish,All,70/30,LR,"Lbfgs solver, small C",Yes,Yes,72.46843623,0.720804209
Spanish,All,70/30,LR,"Lbfgs solver, small C",Yes,No,69.26116838,0.865646103
Spanish,All,70/30,LR,"Lbfgs solver, small C",No,Yes,74.05209265,0.643406635
Spanish,All,70/30,LR,"Lbfgs solver, small C",No,No,74.10652921,0.609921084
Spanish,All,70/30,LR,"Lbfgs solver, standard C",Yes,Yes,74.56804851,0.511491674
Spanish,All,70/30,LR,"Lbfgs solver, standard C",Yes,No,74.70157352,0.587542211
Spanish,All,70/30,LR,"Lbfgs solver, standard C",No,Yes,74.07296948,0.624432901
Spanish,All,70/30,LR,"Lbfgs solver, standard C",No,No,74.23132574,0.584872338
Spanish,All,70/30,LR,"Lbfgs solver, large C",Yes,Yes,73.46257083,0.619257236
Spanish,All,70/30,LR,"Lbfgs solver, large C",Yes,No,73.71134021,0.502625466
Spanish,All,70/30,LR,"Lbfgs solver, large C",No,Yes,72.53305498,0.6390539
Spanish,All,70/30,LR,"Lbfgs solver, large C",No,No,72.94537891,0.618310603
Spanish,All,80/20,Naive Bayes,Multinomial,Yes,Yes,,
Spanish,All,80/20,Naive Bayes,Multinomial,Yes,No,,
Spanish,All,80/20,Naive Bayes,Multinomial,No,Yes,,
Spanish,All,80/20,Naive Bayes,Multinomial,No,No,,
Spanish,All,80/20,Naive Bayes,Bernoulli,Yes,Yes,,
Spanish,All,80/20,Naive Bayes,Bernoulli,Yes,No,,
Spanish,All,80/20,Naive Bayes,Bernoulli,No,Yes,,
Spanish,All,80/20,Naive Bayes,Bernoulli,No,No,,
Spanish,All,80/20,SVM,"Linear kernel, small C",Yes,Yes,,
Spanish,All,80/20,SVM,"Linear kernel, small C",Yes,No,,
Spanish,All,80/20,SVM,"Linear kernel, small C",No,Yes,,
Spanish,All,80/20,SVM,"Linear kernel, small C",No,No,,
Spanish,All,80/20,SVM,"Linear kernel, standard C",Yes,Yes,,
Spanish,All,80/20,SVM,"Linear kernel, standard C",Yes,No,,
Spanish,All,80/20,SVM,"Linear kernel, standard C",No,Yes,,
Spanish,All,80/20,SVM,"Linear kernel, standard C",No,No,,
Spanish,All,80/20,SVM,"Linear kernel, large C",Yes,Yes,,
Spanish,All,80/20,SVM,"Linear kernel, large C",Yes,No,,
Spanish,All,80/20,SVM,"Linear kernel, large C",No,Yes,,
Spanish,All,80/20,SVM,"Linear kernel, large C",No,No,,
Spanish,All,80/20,SVM,"RBF kernel, small C",Yes,Yes,,
Spanish,All,80/20,SVM,"RBF kernel, small C",Yes,No,,
Spanish,All,80/20,SVM,"RBF kernel, small C",No,Yes,,
Spanish,All,80/20,SVM,"RBF kernel, small C",No,No,,
Spanish,All,80/20,SVM,"RBF kernel, standard C",Yes,Yes,,
Spanish,All,80/20,SVM,"RBF kernel, standard C",Yes,No,,
Spanish,All,80/20,SVM,"RBF kernel, standard C",No,Yes,,
Spanish,All,80/20,SVM,"RBF kernel, standard C",No,No,,
Spanish,All,80/20,SVM,"RBF kernel, large C",Yes,Yes,,
Spanish,All,80/20,SVM,"RBF kernel, large C",Yes,No,,
Spanish,All,80/20,SVM,"RBF kernel, large C",No,Yes,,
Spanish,All,80/20,SVM,"RBF kernel, large C",No,No,,
Spanish,All,80/20,LR,"Liblinear solver, small C",Yes,Yes,,
Spanish,All,80/20,LR,"Liblinear solver, small C",Yes,No,,
Spanish,All,80/20,LR,"Liblinear solver, small C",No,Yes,,
Spanish,All,80/20,LR,"Liblinear solver, small C",No,No,,
Spanish,All,80/20,LR,"Liblinear solver, standard C",Yes,Yes,,
Spanish,All,80/20,LR,"Liblinear solver, standard C",Yes,No,,
Spanish,All,80/20,LR,"Liblinear solver, standard C",No,Yes,,
Spanish,All,80/20,LR,"Liblinear solver, standard C",No,No,,
Spanish,All,80/20,LR,"Liblinear solver, large C",Yes,Yes,,
Spanish,All,80/20,LR,"Liblinear solver, large C",Yes,No,,
Spanish,All,80/20,LR,"Liblinear solver, large C",No,Yes,,
Spanish,All,80/20,LR,"Liblinear solver, large C",No,No,,
Spanish,All,80/20,LR,"Lbfgs solver, small C",Yes,Yes,,
Spanish,All,80/20,LR,"Lbfgs solver, small C",Yes,No,,
Spanish,All,80/20,LR,"Lbfgs solver, small C",No,Yes,,
Spanish,All,80/20,LR,"Lbfgs solver, small C",No,No,,
Spanish,All,80/20,LR,"Lbfgs solver, standard C",Yes,Yes,,
Spanish,All,80/20,LR,"Lbfgs solver, standard C",Yes,No,,
Spanish,All,80/20,LR,"Lbfgs solver, standard C",No,Yes,,
Spanish,All,80/20,LR,"Lbfgs solver, standard C",No,No,,
Spanish,All,80/20,LR,"Lbfgs solver, large C",Yes,Yes,,
Spanish,All,80/20,LR,"Lbfgs solver, large C",Yes,No,,
Spanish,All,80/20,LR,"Lbfgs solver, large C",No,Yes,,
Spanish,All,80/20,LR,"Lbfgs solver, large C",No,No,,
Spanish,Filtered,60/40,Naive Bayes,Multinomial,Yes,Yes,,
Spanish,Filtered,60/40,Naive Bayes,Multinomial,Yes,No,,
Spanish,Filtered,60/40,Naive Bayes,Multinomial,No,Yes,,
Spanish,Filtered,60/40,Naive Bayes,Multinomial,No,No,,
Spanish,Filtered,60/40,Naive Bayes,Bernoulli,Yes,Yes,,
Spanish,Filtered,60/40,Naive Bayes,Bernoulli,Yes,No,,
Spanish,Filtered,60/40,Naive Bayes,Bernoulli,No,Yes,,
Spanish,Filtered,60/40,Naive Bayes,Bernoulli,No,No,,
Spanish,Filtered,60/40,SVM,"Linear kernel, small C",Yes,Yes,,
Spanish,Filtered,60/40,SVM,"Linear kernel, small C",Yes,No,,
Spanish,Filtered,60/40,SVM,"Linear kernel, small C",No,Yes,,
Spanish,Filtered,60/40,SVM,"Linear kernel, small C",No,No,,
Spanish,Filtered,60/40,SVM,"Linear kernel, standard C",Yes,Yes,,
Spanish,Filtered,60/40,SVM,"Linear kernel, standard C",Yes,No,,
Spanish,Filtered,60/40,SVM,"Linear kernel, standard C",No,Yes,,
Spanish,Filtered,60/40,SVM,"Linear kernel, standard C",No,No,,
Spanish,Filtered,60/40,SVM,"Linear kernel, large C",Yes,Yes,,
Spanish,Filtered,60/40,SVM,"Linear kernel, large C",Yes,No,,
Spanish,Filtered,60/40,SVM,"Linear kernel, large C",No,Yes,,
Spanish,Filtered,60/40,SVM,"Linear kernel, large C",No,No,,
Spanish,Filtered,60/40,SVM,"RBF kernel, small C",Yes,Yes,,
Spanish,Filtered,60/40,SVM,"RBF kernel, small C",Yes,No,,
Spanish,Filtered,60/40,SVM,"RBF kernel, small C",No,Yes,,
Spanish,Filtered,60/40,SVM,"RBF kernel, small C",No,No,,
Spanish,Filtered,60/40,SVM,"RBF kernel, standard C",Yes,Yes,,
Spanish,Filtered,60/40,SVM,"RBF kernel, standard C",Yes,No,,
Spanish,Filtered,60/40,SVM,"RBF kernel, standard C",No,Yes,,
Spanish,Filtered,60/40,SVM,"RBF kernel, standard C",No,No,,
Spanish,Filtered,60/40,SVM,"RBF kernel, large C",Yes,Yes,,
Spanish,Filtered,60/40,SVM,"RBF kernel, large C",Yes,No,,
Spanish,Filtered,60/40,SVM,"RBF kernel, large C",No,Yes,,
Spanish,Filtered,60/40,SVM,"RBF kernel, large C",No,No,,
Spanish,Filtered,60/40,LR,"Liblinear solver, small C",Yes,Yes,,
Spanish,Filtered,60/40,LR,"Liblinear solver, small C",Yes,No,,
Spanish,Filtered,60/40,LR,"Liblinear solver, small C",No,Yes,,
Spanish,Filtered,60/40,LR,"Liblinear solver, small C",No,No,,
Spanish,Filtered,60/40,LR,"Liblinear solver, standard C",Yes,Yes,,
Spanish,Filtered,60/40,LR,"Liblinear solver, standard C",Yes,No,,
Spanish,Filtered,60/40,LR,"Liblinear solver, standard C",No,Yes,,
Spanish,Filtered,60/40,LR,"Liblinear solver, standard C",No,No,,
Spanish,Filtered,60/40,LR,"Liblinear solver, large C",Yes,Yes,,
Spanish,Filtered,60/40,LR,"Liblinear solver, large C",Yes,No,,
Spanish,Filtered,60/40,LR,"Liblinear solver, large C",No,Yes,,
Spanish,Filtered,60/40,LR,"Liblinear solver, large C",No,No,,
Spanish,Filtered,60/40,LR,"Lbfgs solver, small C",Yes,Yes,,
Spanish,Filtered,60/40,LR,"Lbfgs solver, small C",Yes,No,,
Spanish,Filtered,60/40,LR,"Lbfgs solver, small C",No,Yes,,
Spanish,Filtered,60/40,LR,"Lbfgs solver, small C",No,No,,
Spanish,Filtered,60/40,LR,"Lbfgs solver, standard C",Yes,Yes,,
Spanish,Filtered,60/40,LR,"Lbfgs solver, standard C",Yes,No,,
Spanish,Filtered,60/40,LR,"Lbfgs solver, standard C",No,Yes,,
Spanish,Filtered,60/40,LR,"Lbfgs solver, standard C",No,No,,
Spanish,Filtered,60/40,LR,"Lbfgs solver, large C",Yes,Yes,,
Spanish,Filtered,60/40,LR,"Lbfgs solver, large C",Yes,No,,
Spanish,Filtered,60/40,LR,"Lbfgs solver, large C",No,Yes,,
Spanish,Filtered,60/40,LR,"Lbfgs solver, large C",No,No,,
Spanish,Filtered,70/30,Naive Bayes,Multinomial,Yes,Yes,,
Spanish,Filtered,70/30,Naive Bayes,Multinomial,Yes,No,,
Spanish,Filtered,70/30,Naive Bayes,Multinomial,No,Yes,,
Spanish,Filtered,70/30,Naive Bayes,Multinomial,No,No,,
Spanish,Filtered,70/30,Naive Bayes,Bernoulli,Yes,Yes,,
Spanish,Filtered,70/30,Naive Bayes,Bernoulli,Yes,No,,
Spanish,Filtered,70/30,Naive Bayes,Bernoulli,No,Yes,,
Spanish,Filtered,70/30,Naive Bayes,Bernoulli,No,No,,
Spanish,Filtered,70/30,SVM,"Linear kernel, small C",Yes,Yes,,
Spanish,Filtered,70/30,SVM,"Linear kernel, small C",Yes,No,,
Spanish,Filtered,70/30,SVM,"Linear kernel, small C",No,Yes,,
Spanish,Filtered,70/30,SVM,"Linear kernel, small C",No,No,,
Spanish,Filtered,70/30,SVM,"Linear kernel, standard C",Yes,Yes,,
Spanish,Filtered,70/30,SVM,"Linear kernel, standard C",Yes,No,,
Spanish,Filtered,70/30,SVM,"Linear kernel, standard C",No,Yes,,
Spanish,Filtered,70/30,SVM,"Linear kernel, standard C",No,No,,
Spanish,Filtered,70/30,SVM,"Linear kernel, large C",Yes,Yes,,
Spanish,Filtered,70/30,SVM,"Linear kernel, large C",Yes,No,,
Spanish,Filtered,70/30,SVM,"Linear kernel, large C",No,Yes,,
Spanish,Filtered,70/30,SVM,"Linear kernel, large C",No,No,,
Spanish,Filtered,70/30,SVM,"RBF kernel, small C",Yes,Yes,,
Spanish,Filtered,70/30,SVM,"RBF kernel, small C",Yes,No,,
Spanish,Filtered,70/30,SVM,"RBF kernel, small C",No,Yes,,
Spanish,Filtered,70/30,SVM,"RBF kernel, small C",No,No,,
Spanish,Filtered,70/30,SVM,"RBF kernel, standard C",Yes,Yes,,
Spanish,Filtered,70/30,SVM,"RBF kernel, standard C",Yes,No,,
Spanish,Filtered,70/30,SVM,"RBF kernel, standard C",No,Yes,,
Spanish,Filtered,70/30,SVM,"RBF kernel, standard C",No,No,,
Spanish,Filtered,70/30,SVM,"RBF kernel, large C",Yes,Yes,,
Spanish,Filtered,70/30,SVM,"RBF kernel, large C",Yes,No,,
Spanish,Filtered,70/30,SVM,"RBF kernel, large C",No,Yes,,
Spanish,Filtered,70/30,SVM,"RBF kernel, large C",No,No,,
Spanish,Filtered,70/30,LR,"Liblinear solver, small C",Yes,Yes,,
Spanish,Filtered,70/30,LR,"Liblinear solver, small C",Yes,No,,
Spanish,Filtered,70/30,LR,"Liblinear solver, small C",No,Yes,,
Spanish,Filtered,70/30,LR,"Liblinear solver, small C",No,No,,
Spanish,Filtered,70/30,LR,"Liblinear solver, standard C",Yes,Yes,,
Spanish,Filtered,70/30,LR,"Liblinear solver, standard C",Yes,No,,
Spanish,Filtered,70/30,LR,"Liblinear solver, standard C",No,Yes,,
Spanish,Filtered,70/30,LR,"Liblinear solver, standard C",No,No,,
Spanish,Filtered,70/30,LR,"Liblinear solver, large C",Yes,Yes,,
Spanish,Filtered,70/30,LR,"Liblinear solver, large C",Yes,No,,
Spanish,Filtered,70/30,LR,"Liblinear solver, large C",No,Yes,,
Spanish,Filtered,70/30,LR,"Liblinear solver, large C",No,No,,
Spanish,Filtered,70/30,LR,"Lbfgs solver, small C",Yes,Yes,,
Spanish,Filtered,70/30,LR,"Lbfgs solver, small C",Yes,No,,
Spanish,Filtered,70/30,LR,"Lbfgs solver, small C",No,Yes,,
Spanish,Filtered,70/30,LR,"Lbfgs solver, small C",No,No,,
Spanish,Filtered,70/30,LR,"Lbfgs solver, standard C",Yes,Yes,,
Spanish,Filtered,70/30,LR,"Lbfgs solver, standard C",Yes,No,,
Spanish,Filtered,70/30,LR,"Lbfgs solver, standard C",No,Yes,,
Spanish,Filtered,70/30,LR,"Lbfgs solver, standard C",No,No,,
Spanish,Filtered,70/30,LR,"Lbfgs solver, large C",Yes,Yes,,
Spanish,Filtered,70/30,LR,"Lbfgs solver, large C",Yes,No,,
Spanish,Filtered,70/30,LR,"Lbfgs solver, large C",No,Yes,,
Spanish,Filtered,70/30,LR,"Lbfgs solver, large C",No,No,,
Spanish,Filtered,80/20,Naive Bayes,Multinomial,Yes,Yes,,
Spanish,Filtered,80/20,Naive Bayes,Multinomial,Yes,No,,
Spanish,Filtered,80/20,Naive Bayes,Multinomial,No,Yes,,
Spanish,Filtered,80/20,Naive Bayes,Multinomial,No,No,,
Spanish,Filtered,80/20,Naive Bayes,Bernoulli,Yes,Yes,,
Spanish,Filtered,80/20,Naive Bayes,Bernoulli,Yes,No,,
Spanish,Filtered,80/20,Naive Bayes,Bernoulli,No,Yes,,
Spanish,Filtered,80/20,Naive Bayes,Bernoulli,No,No,,
Spanish,Filtered,80/20,SVM,"Linear kernel, small C",Yes,Yes,,
Spanish,Filtered,80/20,SVM,"Linear kernel, small C",Yes,No,,
Spanish,Filtered,80/20,SVM,"Linear kernel, small C",No,Yes,,
Spanish,Filtered,80/20,SVM,"Linear kernel, small C",No,No,,
Spanish,Filtered,80/20,SVM,"Linear kernel, standard C",Yes,Yes,,
Spanish,Filtered,80/20,SVM,"Linear kernel, standard C",Yes,No,,
Spanish,Filtered,80/20,SVM,"Linear kernel, standard C",No,Yes,,
Spanish,Filtered,80/20,SVM,"Linear kernel, standard C",No,No,,
Spanish,Filtered,80/20,SVM,"Linear kernel, large C",Yes,Yes,,
Spanish,Filtered,80/20,SVM,"Linear kernel, large C",Yes,No,,
Spanish,Filtered,80/20,SVM,"Linear kernel, large C",No,Yes,,
Spanish,Filtered,80/20,SVM,"Linear kernel, large C",No,No,,
Spanish,Filtered,80/20,SVM,"RBF kernel, small C",Yes,Yes,,
Spanish,Filtered,80/20,SVM,"RBF kernel, small C",Yes,No,,
Spanish,Filtered,80/20,SVM,"RBF kernel, small C",No,Yes,,
Spanish,Filtered,80/20,SVM,"RBF kernel, small C",No,No,,
Spanish,Filtered,80/20,SVM,"RBF kernel, standard C",Yes,Yes,,
Spanish,Filtered,80/20,SVM,"RBF kernel, standard C",Yes,No,,
Spanish,Filtered,80/20,SVM,"RBF kernel, standard C",No,Yes,,
Spanish,Filtered,80/20,SVM,"RBF kernel, standard C",No,No,,
Spanish,Filtered,80/20,SVM,"RBF kernel, large C",Yes,Yes,,
Spanish,Filtered,80/20,SVM,"RBF kernel, large C",Yes,No,,
Spanish,Filtered,80/20,SVM,"RBF kernel, large C",No,Yes,,
Spanish,Filtered,80/20,SVM,"RBF kernel, large C",No,No,,
Spanish,Filtered,80/20,LR,"Liblinear solver, small C",Yes,Yes,,
Spanish,Filtered,80/20,LR,"Liblinear solver, small C",Yes,No,,
Spanish,Filtered,80/20,LR,"Liblinear solver, small C",No,Yes,,
Spanish,Filtered,80/20,LR,"Liblinear solver, small C",No,No,,
Spanish,Filtered,80/20,LR,"Liblinear solver, standard C",Yes,Yes,,
Spanish,Filtered,80/20,LR,"Liblinear solver, standard C",Yes,No,,
Spanish,Filtered,80/20,LR,"Liblinear solver, standard C",No,Yes,,
Spanish,Filtered,80/20,LR,"Liblinear solver, standard C",No,No,,
Spanish,Filtered,80/20,LR,"Liblinear solver, large C",Yes,Yes,,
Spanish,Filtered,80/20,LR,"Liblinear solver, large C",Yes,No,,
Spanish,Filtered,80/20,LR,"Liblinear solver, large C",No,Yes,,
Spanish,Filtered,80/20,LR,"Liblinear solver, large C",No,No,,
Spanish,Filtered,80/20,LR,"Lbfgs solver, small C",Yes,Yes,,
Spanish,Filtered,80/20,LR,"Lbfgs solver, small C",Yes,No,,
Spanish,Filtered,80/20,LR,"Lbfgs solver, small C",No,Yes,,
Spanish,Filtered,80/20,LR,"Lbfgs solver, small C",No,No,,
Spanish,Filtered,80/20,LR,"Lbfgs solver, standard C",Yes,Yes,,
Spanish,Filtered,80/20,LR,"Lbfgs solver, standard C",Yes,No,,
Spanish,Filtered,80/20,LR,"Lbfgs solver, standard C",No,Yes,,
Spanish,Filtered,80/20,LR,"Lbfgs solver, standard C",No,No,,
Spanish,Filtered,80/20,LR,"Lbfgs solver, large C",Yes,Yes,,
Spanish,Filtered,80/20,LR,"Lbfgs solver, large C",Yes,No,,
Spanish,Filtered,80/20,LR,"Lbfgs solver, large C",No,Yes,,
Spanish,Filtered,80/20,LR,"Lbfgs solver, large C",No,No,,
Spanish,No,60/40,Naive Bayes,Multinomial,Yes,Yes,,
Spanish,No,60/40,Naive Bayes,Multinomial,Yes,No,,
Spanish,No,60/40,Naive Bayes,Multinomial,No,Yes,,
Spanish,No,60/40,Naive Bayes,Multinomial,No,No,,
Spanish,No,60/40,Naive Bayes,Bernoulli,Yes,Yes,,
Spanish,No,60/40,Naive Bayes,Bernoulli,Yes,No,,
Spanish,No,60/40,Naive Bayes,Bernoulli,No,Yes,,
Spanish,No,60/40,Naive Bayes,Bernoulli,No,No,,
Spanish,No,60/40,SVM,"Linear kernel, small C",Yes,Yes,,
Spanish,No,60/40,SVM,"Linear kernel, small C",Yes,No,,
Spanish,No,60/40,SVM,"Linear kernel, small C",No,Yes,,
Spanish,No,60/40,SVM,"Linear kernel, small C",No,No,,
Spanish,No,60/40,SVM,"Linear kernel, standard C",Yes,Yes,,
Spanish,No,60/40,SVM,"Linear kernel, standard C",Yes,No,,
Spanish,No,60/40,SVM,"Linear kernel, standard C",No,Yes,,
Spanish,No,60/40,SVM,"Linear kernel, standard C",No,No,,
Spanish,No,60/40,SVM,"Linear kernel, large C",Yes,Yes,,
Spanish,No,60/40,SVM,"Linear kernel, large C",Yes,No,,
Spanish,No,60/40,SVM,"Linear kernel, large C",No,Yes,,
Spanish,No,60/40,SVM,"Linear kernel, large C",No,No,,
Spanish,No,60/40,SVM,"RBF kernel, small C",Yes,Yes,,
Spanish,No,60/40,SVM,"RBF kernel, small C",Yes,No,,
Spanish,No,60/40,SVM,"RBF kernel, small C",No,Yes,,
Spanish,No,60/40,SVM,"RBF kernel, small C",No,No,,
Spanish,No,60/40,SVM,"RBF kernel, standard C",Yes,Yes,,
Spanish,No,60/40,SVM,"RBF kernel, standard C",Yes,No,,
Spanish,No,60/40,SVM,"RBF kernel, standard C",No,Yes,,
Spanish,No,60/40,SVM,"RBF kernel, standard C",No,No,,
Spanish,No,60/40,SVM,"RBF kernel, large C",Yes,Yes,,
Spanish,No,60/40,SVM,"RBF kernel, large C",Yes,No,,
Spanish,No,60/40,SVM,"RBF kernel, large C",No,Yes,,
Spanish,No,60/40,SVM,"RBF kernel, large C",No,No,,
Spanish,No,60/40,LR,"Liblinear solver, small C",Yes,Yes,,
Spanish,No,60/40,LR,"Liblinear solver, small C",Yes,No,,
Spanish,No,60/40,LR,"Liblinear solver, small C",No,Yes,,
Spanish,No,60/40,LR,"Liblinear solver, small C",No,No,,
Spanish,No,60/40,LR,"Liblinear solver, standard C",Yes,Yes,,
Spanish,No,60/40,LR,"Liblinear solver, standard C",Yes,No,,
